iter	Passed	Remaining
989	46841	473
990	46889	425
991	46937	378
992	46984	331
993	47029	283
994	47076	236
995	47121	189
996	47168	141
997	47219	94
998	47267	47
999	47313	0
